Curvilinear abscissa; Z
0.00000000; 405.50930786
9.50495433; 405.45111084
23.59896293; 405.50741577
39.92669186; 405.38128662
58.81275275; 405.52740479
71.86904145; 406.26248169
227.35744820; 405.57617188
250.69956568; 405.87396240
272.56632711; 405.31268311
281.87734629; 405.01916504
312.16889325; 405.24145508
324.22026516; 405.10000610
340.08579302; 405.41400146
358.52593868; 404.97979736
366.44167590; 404.98028564
379.03256863; 404.95773315
390.93724857; 405.06546021
401.30834628; 405.27539063
410.55694079; 405.49166870
